word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
arabesque,0.14,,1,-,0.14,,,,,,,,,,,,,,,,,
arachides,0.42,,1,-,,,,,,0.42,,,,,,,,,,,,
araignée,-0.44,0.45,6,2,0.47,0.32,-,0.47,,0.55,0.42,,0.43,,,,,0.59,,0.32,,
arbitraire,-0.37,0.30,1,1,,,,,,,,,0.37,,,,,,,0.30,,
arbitre,-0.04,0.53,3,1,0.07,,,,,0.09,,,0.10,,,,,,,0.53,,
arbre,0.57,0.27,9,4,0.72,0.42,0.54,,0.82,0.77,0.33,0.50,0.57,,,0.45,,0.30,0.13,0.20,,0.46
arc,0.18,,2,-,,0.05,0.30,,,,,,,,,,,,,,,
arc-en-ciel,0.80,0.46,2,1,0.81,,,,,,0.79,,,,,,,0.46,,,,
arche,0.33,,1,-,,,0.33,,,,,,,,,,,,,,,
archéologue,-0.05,,1,-,0.05,,,,,,,,,,,,,,,,,
archet,0.33,,1,-,,,0.33,,,,,,,,,,,,,,,
architecte,0.16,,1,-,0.16,,,,,,,,,,,,,,,,,
ardeur,0.47,0.65,3,1,0.44,,,,,,,,0.47,,,,,,,0.65,,
ardu,-0.15,,2,-,,0.16,,,,0.13,,,,,,,,,,,,
argent,0.53,0.43,7,2,0.61,0.41,0.60,,0.68,0.41,,0.53,0.50,,,,,,0.49,0.37,,
argile,0.31,0.37,1,1,,,,,,,,0.31,,,,,,,0.37,,,
argument,0.10,,1,-,0.10,,,,,,,,,,,,,,,,,
argumentation,0.27,0.45,1,1,,,,,,,,,0.27,,,,,,,0.45,,
arme,-0.54,0.67,7,3,0.67,0.71,,,0.44,0.44,0.26,0.78,0.50,,,,,0.63,0.81,0.58,,
arme à feu,-0.38,0.75,1,1,,,,,,,0.38,,,,,,,0.75,,,,
armée,-0.32,0.51,6,3,,0.38,,,0.20,0.60,0.07,,0.60,,0.05,,,0.50,,0.67,0.36,
armement,-0.8,,1,-,0.80,,,,,,,,,,,,,,,,,
armoire,0.13,0.34,6,2,0.18,0.11,0.25,,0.39,,,0.09,,,,0.13,,,0.19,,,0.48
arôme,0.78,,1,-,0.78,,,,,,,,,,,,,,,,,
arracher,-0.47,0.60,1,1,,,,,,,,,0.47,,,,,,,0.60,,
arranger,0.27,0.48,1,1,,,,,,,,,0.27,,,,,,,0.48,,
arrêt,-0.23,0.48,1,1,,,,,,,,0.23,,,,,,,0.48,,,
arrêter,-0.1,0.34,2,2,,,,,,,,0.14,0.07,,,,,,0.29,0.38,,
arrêter (s'),0.03,0.20,1,1,,,,,,,,,0.03,,,,,,,0.20,,
arriération,-0.83,,1,-,0.83,,,,,,,,,,,,,,,,,
arriéré,-0.47,,1,-,0.47,,,,,,,,,,,,,,,,,
arrimer,0.14,,1,-,0.14,,,,,,,,,,,,,,,,,
arriviste,-0.37,0.57,1,1,,,,,,,,,0.37,,,,,,,0.57,,
arrogance,-0.58,0.61,2,2,,,,,,,,0.63,0.53,,,,,,0.65,0.57,,
arrogant,-0.49,0.59,3,3,,,,,,,0.33,,0.60,,,0.54,,0.58,,0.55,,0.65
arrondi,-,0.12,1,1,,,,,,,,,,,,,,,,0.12,,
arrosoir,0.18,,2,-,,0.10,0.26,,,,,,,,,,,,,,,
arsenic,-0.73,0.52,2,2,,,,,,,,0.67,0.80,,,,,,0.60,0.43,,
art,0.53,0.46,8,5,0.70,0.51,,,0.70,,0.42,0.61,0.60,,0.14,0.58,,0.48,0.36,0.53,0.35,0.59
artichaut,0.21,,3,-,,0.10,0.07,,0.45,,,,,,,,,,,,,
articuler,0.27,0.60,1,1,,,,,,,,,0.27,,,,,,,0.60,,
artificiel,-0.49,0.20,2,1,0.58,,,,,,,,0.40,,,,,,,0.20,,
artiste,0.58,0.55,4,2,0.52,,,,0.67,,,0.60,0.53,,,,,,0.47,0.63,,
ascenseur,0.12,0.46,3,2,0.13,,,,,,0.11,,,,,0.11,,0.40,,,,0.52
ascète,-0.23,0.25,1,1,,,,,,0.51,,0.23,,0.11,,,,,0.25,,,
ascétisme,-0.13,0.41,1,1,,,,,,,,0.13,,,,,,,0.41,,,
asile,-0.15,0.47,3,2,,,,,0.45,,,0.10,0.10,,,,,,0.60,0.35,,
aspect,0.02,,2,-,0.02,0.05,,,,,,,,,,,,,,,,
asperge,0.30,0.35,3,1,,0.12,0.31,,,,,0.47,,,,,,,0.35,,,
aspirateur,-0.07,,2,-,,0.01,-,0.14,,,,,,,,,,,,,,
aspiration,0.29,0.57,2,1,,,,,0.32,,,,0.27,,,,,,,0.57,,
asqueado,-0.6,0.62,1,1,,,,,,,,,,,,0.60,,,,,,0.62
assassin,-0.73,0.83,1,1,,,,,,,,,,,,0.73,,,,,,0.83
assassiner,-0.74,0.83,1,1,,,,,,,,,,,,0.74,,,,,,0.83
assaut,-0.26,,1,-,,,,,0.26,,,,,,,,,,,,,
asseoir (s'),0.44,0.22,2,1,,,,,,,,,0.37,,,,,,,0.22,,
assiégé,-0.47,0.69,1,1,,,,,,,,,,,,0.47,,,,,,0.69
assiette,0.26,0.15,4,1,0.39,0.10,0.38,,,,,0.20,,,,,,,0.15,,,
associé,0.27,0.42,1,1,,,,,,,,,0.27,,,,,,,0.42,,
associer (s'),0.40,0.48,1,1,,,,,,,,,0.40,,,,,,,0.48,,
assoiffé,-0.27,,1,-,0.27,,,,,,,,,,,,,,,,,
assommer,-0.85,,1,-,0.85,,,,,,,,,,,,,,,,,
assortiment,0.09,0.22,1,1,,,,,,,,0.09,,,,,,,0.22,,,
assouvissement,0.17,0.38,1,1,,,,,,,,,0.17,,,,,,,0.38,,
assurance,0.51,0.35,2,1,0.68,,,,,,,,0.33,,,,,,,0.35,,
asthme,-0.8,0.35,1,1,,,,,,,,,0.80,,,,,,,0.35,,
astre,0.37,0.35,1,1,,,,,,,,,0.37,,,,,,,0.35,,
astrologie,-,0.48,1,1,,,,,,,,,,,,,,,,0.48,,
astronaute,0.31,0.57,4,2,,0.23,0.34,,,,0.42,,,,,0.26,,0.54,,,,0.60
astronomie,-,0.50,1,1,,,,,,,,,,,,,,,,0.50,,
astuce,0.47,,1,-,,0.47,,,,,,,,,,,,,,,,
atelier,0.06,0.73,2,1,,,,,0.22,,,,0.10,,,,,,,0.73,,
athlète,0.38,0.88,2,1,0.45,,,,,,,,0.30,,,,,,,0.88,,
athlétisme,0.40,0.64,1,1,,,,,,,0.40,,,,,,,0.64,,,,
atlas,0.32,0.33,1,1,,,,,,,,0.32,,,,,,,0.33,,,
atmosphère,0.07,0.45,1,1,,,,,,,,,0.07,,,,,,,0.45,,
atome,-0.3,0.60,1,1,,,,,,,,,0.30,,,,,,,0.60,,
atout,0.63,,1,-,0.63,,,,,,,,,,,,,,,,,
atroce,-0.83,0.33,1,1,,,,,,,,,0.83,,,,,,,0.33,,
atrocité,-0.78,0.60,3,2,,0.87,,,,,,,0.87,,,0.61,,,,0.45,,0.74
attachant,0.47,0.43,1,1,,,,,,,,,0.47,,,,,,,0.43,,
attachement,0.68,0.57,3,1,0.65,,,,0.85,,,,0.53,,,,,,,0.57,,
attacher,-0.38,,1,-,0.38,,,,,,,,,,,,,,,,,
attacher à (s'),0.53,0.48,1,1,,,,,,,,,0.53,,,,,,,0.48,,
attaquait,-0.67,0.75,1,1,,,,,,,,0.67,,,,,,,0.75,,,
attaquer,-0.6,0.78,1,1,,,,,,,,,0.60,,,,,,,0.78,,
atteindre,0.36,0.55,2,2,,,,,,,,0.52,0.20,,,,,,0.38,0.72,,
attendre,-0.56,0.22,2,1,0.71,,,,,,,,0.40,,,,,,,0.22,,
attendrir (s'),0.50,0.43,1,1,,,,,,,,,0.50,,,,,,,0.43,,
attendrissant,0.53,0.33,1,1,,,,,,,,,0.53,,,,,,,0.33,,
attentat,-0.8,0.93,1,1,,,,,,,,0.80,,,,,,,0.93,,,
attente,-0.08,0.40,2,2,,,,,,,,0.24,0.40,,,,,,0.61,0.18,,
attention,0.35,0.52,3,1,,0.18,,,,,,,0.13,,,,0.73,,,0.52,,
attentionné,0.11,,1,-,,,,,,,,,,,,,,,,,,
attentions,0.40,0.55,1,1,,,,,,,,,0.40,,,,,,,0.55,,
attique,0.50,0.56,1,1,,,,,,,,,,,,0.50,,,,,,0.56
attirail,-0.24,,1,-,0.24,,,,,,,,,,,,,,,,,
attirance,0.74,0.63,2,1,,,,,,,,,0.67,,,,0.81,,,0.63,,
attitude,0.16,0.47,2,1,,0.30,,,,,,,0.03,,,,,,,0.47,,
attouchement,0.30,0.57,1,1,,,,,,,,,0.30,,,,,,,0.57,,
attractif,0.37,0.62,1,1,,,,,,,,,0.37,,,,,,,0.62,,
attraction,0.47,0.68,1,1,,,,,,,,,0.47,,,,,,,0.68,,
attractions,0.65,,1,-,0.65,,,,,,,,,,,,,,,,,
attrait,0.40,0.58,1,1,,,,,,,,,0.40,,,,,,,0.58,,
attraper,-0.18,0.49,1,1,,,,,,,,0.18,,,,,,,0.49,,,
attrayant,0.53,0.58,1,1,,,,,,,,,0.53,,,,,,,0.58,,
attribuer,-0.03,0.42,1,1,,,,,,,,,0.03,,,,,,,0.42,,
attristé,-0.73,0.25,1,1,,,,,,,,,0.73,,,,,,,0.25,,
attrister,-0.67,0.37,1,1,,,,,,,,,0.67,,,,,,,0.37,,
aube,0.61,0.41,4,2,0.78,,,,0.70,,,,0.30,,,0.66,,,,0.35,,0.46
auberge,0.63,,1,-,,,,,0.63,,,,,,,,,,,,,
audace,0.27,0.63,1,1,,,,,,,,,0.27,,,,,,,0.63,,
audacieux,0.27,0.68,1,1,,,,,,,,,0.27,,,,,,,0.68,,
au-delà,0.48,,1,-,0.48,,,,,,,,,,,,,,,,,
auditoire,-0.11,0.50,2,1,,,,,0.08,,,,0.30,,,,,,,0.50,,
augmenter,0.10,0.58,1,1,,,,,,,,,0.10,,,,,,,0.58,,
aumônes,-0.27,0.42,1,1,,,,,,,,0.27,,,,,,,0.42,,,
aurore,0.46,0.47,2,2,,,,,,,,,0.30,,,0.62,,,,0.40,,0.55
austère,0.08,,1,-,,,,,0.08,,,,,0.56,0.20,,0.39,,,,0.43,
autarcique,0.20,0.50,1,1,,,,,,,,0.20,,,,,,,0.50,,,
autel,0.10,0.34,1,1,,,,,,,,0.10,,,,,,,0.34,,,
authentique,0.50,0.27,2,1,0.76,,,,,,,,0.23,,,,,,,0.27,,
auto,0.66,,2,-,0.61,,,,,0.70,,,,,,,,,,,,
autobus,-0.06,0.44,5,2,0.31,,-,0.06,0.18,,0.12,,,,,0.00,,0.32,,,,0.56
autocar,-0.21,,1,-,0.21,,,,,,,,,,,,,,,,,
automatique,-0.25,,1,-,0.25,,,,,,,,,,,,,,,,,
automne,0.30,0.43,5,3,0.38,,,,0.50,,0.33,,0.17,,,0.15,,0.44,,0.35,,0.49
automobile,0.55,,1,-,0.55,,,,,,,,,,,,,,,,,
autonome,0.27,0.49,1,1,,,,,,,,0.27,,,,,,,0.49,,,
autonomie,0.82,,1,-,0.82,,,,,,,,,,,,,,,,,
autoritaire,-0.4,0.58,1,1,,,,,,,,,0.40,,,,,,,0.58,,
autorité,-0.33,0.53,1,1,,,,,,,,,0.33,,,,,,,0.53,,
autoroute,0.16,,1,-,,,,,0.16,,,,,,,,,,,,,
autres,0.19,0.50,2,1,0.22,,,,,,,,0.17,,,,,,,0.50,,
autruche,0.09,,2,-,,0.08,0.10,,,,,,,,,,,,,,,
auvent,0.36,,1,-,,,0.36,,,,,,,,,,,,,,,
avalanche,-0.4,0.71,5,3,0.42,,,,0.38,,0.43,0.33,,,,0.45,,0.57,0.78,,,0.80
avancer,0.17,0.67,1,1,,,,,,,,,0.17,,,,,,,0.67,,
avantage,0.49,0.50,4,4,,,,,,,0.49,0.60,0.33,,,0.53,,0.47,0.44,0.48,,0.62
avantageux,0.40,0.50,1,1,,,,,,,,,0.40,,,,,,,0.50,,
avare,-0.8,0.35,1,1,,,,,,,,,0.80,,,,,,,0.35,,
avarice,-0.65,0.47,2,2,,,,,,,,,0.83,,,0.46,,,,0.33,,0.62
avec raideur,-0.23,0.41,1,1,,,,,,,,0.23,,,,,,,0.41,,,
avenir,0.65,0.72,4,2,0.84,0.57,,,,,,0.73,0.47,,,,,,0.68,0.77,,
avent,0.35,0.18,1,1,,,,,,,,0.35,,,,,,,0.18,,,
aventure,0.58,0.70,5,3,0.77,,,,0.60,,0.65,,0.70,,,,,0.75,,0.92,,
avenue,0.10,0.47,2,2,,,,,,,0.13,,,,,0.08,,0.39,,,,0.56
averse,-0.33,0.48,1,1,,,,,,,,,0.33,,,,,,,0.48,,
aversion,-0.5,0.37,3,1,,,,,,,,,0.53,,,,,,,0.37,,
avertir,-0.03,0.50,1,1,,,,,,,,,0.03,,,,,,,0.50,,
avertissement,-0.16,0.58,3,2,0.20,,,,,,,0.10,0.17,,,,,,0.64,0.52,,
aveu,0.13,0.55,1,1,,,,,,,,,0.13,,,,,,,0.55,,
aveugle,-0.53,0.54,2,2,,,,,,,,,0.60,,,0.46,,,,0.50,,0.58
aveux,0.13,0.55,1,1,,,,,,,,,0.13,,,,,,,0.55,,
avidement,-0.5,0.74,1,1,,,,,,,,0.50,,,,,,,0.74,,,
avidité,-0.6,0.47,1,1,,,,,,,,,0.60,,,,,,,0.47,,
avilir,-0.73,0.33,1,1,,,,,,,,,0.73,,,,,,,0.33,,
avion,0.34,0.64,9,4,0.47,0.14,0.26,,0.40,0.69,0.36,0.17,0.23,,,0.36,,0.64,0.58,0.67,,0.67
avis,0.16,0.48,2,2,,,,,,,0.32,,,,,,,0.49,,0.47,,
avocat,0.06,0.62,4,1,0.38,,0.10,,0.09,,,,0.33,,,,,,,0.62,,
avoine,0.25,0.12,2,1,,,,,0.26,,,0.25,,,,,,,0.12,,,
avoir,0.38,,1,-,,,,,,0.38,,,,,,,,,,,,
avoir besoin,-0.08,0.45,1,1,,,,,,,,0.08,,,,,,,0.45,,,
avoir des idées noires,-0.83,0.17,1,1,,,,,,,,,0.83,,,,,,,0.17,,
avoir le cafard,-0.8,0.12,1,1,,,,,,,,,0.80,,,,,,,0.12,,
avoir le cœur gros,-0.73,0.17,1,1,,,,,,,,,0.73,,,,,,,0.17,,
avoir le trac,-0.63,0.42,1,1,,,,,,,,,0.63,,,,,,,0.42,,
avortement,-0.17,0.55,2,1,0.03,,,,,,0.38,,,,,,,0.55,,,,
avouer,-0.02,0.54,1,1,,,,,,,,0.02,,,,,,,0.54,,,
avril,0.30,0.43,2,1,0.50,,,,,,,,0.10,,,,,,,0.43,,
babiller,-0.13,0.38,1,1,,,,,,,,,0.13,,,,,,,0.38,,
baccalauréat,0.27,0.74,1,1,,,,,,,,0.27,,,,,,,0.74,,,
bâcler,-0.5,,1,-,0.50,,,,,,,,,,,,,,,,,
bactérie,-0.57,0.63,1,1,,,,,,,,0.57,,,,,,,0.63,,,
badinage,-0.1,0.35,1,1,,,,,,,,,0.10,,,,,,,0.35,,
bafouer,-0.57,0.47,1,1,,,,,,,,,0.57,,,,,,,0.47,,
bagage,0.22,0.50,2,1,0.28,,,,,,,,0.17,,,,,,,0.50,,
bagarre,-0.67,0.78,1,1,,,,,,,,,0.67,,,,,,,0.78,,
bagatelle,0.16,,1,-,0.16,,,,,,,,,,,,,,,,,
bagnole,0.46,,1,-,,,,,0.46,,,,,,,,,,,,,
bague,0.49,,4,-,0.19,0.54,0.68,,0.55,,,,,,,,,,,,,
baguette,0.34,,2,-,,,0.46,,0.22,,,,,,,,,,,,,
bahut,0.28,0.29,1,1,,,,,,,,0.28,,,,,,,0.29,,,
baignoire,0.55,0.41,4,1,,0.33,0.68,,0.70,,,,,,,0.50,,,,,,0.41
bâillonner,-0.5,0.68,1,1,,,,,,,,0.50,,,,,,,0.68,,,
bain,0.60,0.42,5,3,,0.61,,,,0.75,0.58,0.40,0.63,,,,,0.40,0.33,0.52,,
baiser,0.80,0.80,3,2,0.78,,,,,,0.82,,0.80,,,,,0.79,,0.80,,
baisser,-0.23,0.25,1,1,,,,,,,,0.23,,,,,,,0.25,,,
baisser (se),-0.23,0.40,1,1,,,,,,,,,0.23,,,,,,,0.40,,
bal,0.52,,1,-,,,0.52,,,,,,,,,,,,,,,
balade,0.73,,1,-,0.73,,,,,,,,,,,,,,,,,
balai,-0.08,,3,-,,0.08,-,0.17,,,,,,,,,,,,,,
balais,-0.08,0.26,1,1,,,,,,,,0.08,,,,,,,0.26,,,
balance,0.09,0.29,3,1,,,0.09,,,0.05,,0.13,,,,,,,0.29,,,
balançoire,0.47,0.47,3,1,,0.29,0.63,,,,,0.48,,,,,,,0.47,,,
balcon,0.46,0.26,2,1,,,0.47,,,,,0.45,,,,,,,0.26,,,
baleine,0.30,,4,-,0.57,0.20,0.38,,0.05,,,,,,,,,,,,,
balle,0.12,0.58,6,3,,0.09,0.30,,0.16,,0.43,0.50,0.10,,,,,0.54,0.55,0.67,,
ballon,0.36,,3,-,0.34,0.18,0.57,,,,,,,,,,,,,,,
ballon dirigeable,0.41,,1,-,,,0.41,,,,,,,,,,,,,,,
ballot,-0.31,0.59,1,1,,,,,,,,,,,,0.31,,,,,,0.59
banal,-0.15,,1,-,0.15,,,,,,,,,,,,,,,,,
banalité,-0.38,0.17,2,1,,0.20,,,,,,,0.57,,,,,,,0.17,,
banane,0.43,0.24,4,1,,0.19,0.52,,0.55,,,0.44,,,,,,,0.24,,,
banc,0.11,0.24,5,2,,0.12,0.31,,0.44,,0.10,,0.20,,,,,0.32,,0.15,,
bandage,-0.15,,1,-,0.15,,,,,,,,,,,,,,,,,
bande,-0.01,,1,-,,,,,0.01,,,,,,,,,,,,,
bande (groupe),0.23,0.77,1,1,,,,,,,,,0.23,,,,,,,0.77,,
bande dessinée,0.61,0.52,2,1,0.83,,,,,,,,0.40,,,,,,,0.52,,
bandit,-0.51,,3,-,0.60,,,,0.56,0.37,,,,,,,,,,,,
banjo,0.26,,2,-,0.15,,0.36,,,,,,,,,,,,,,,
bannir,-0.67,,1,-,0.67,,,,,,,,,,,,,,,,,
banque,0.13,0.32,5,1,0.46,0.06,,,0.46,0.24,,0.08,,,,,,,0.32,,,
banqueroute,-0.7,0.56,2,2,,,,,,,,0.77,,,,0.64,,,0.45,,,0.68
banquier,0.28,,1,-,,,,,0.28,,,,,,,,,,,,,
baptême,0.38,,1,-,0.38,,,,,,,,,,,,,,,,,
baptise,0.32,0.36,1,1,,,,,,,,0.32,,,,,,,0.36,,,
bar,0.22,0.67,2,1,0.01,,,,,,,,,,,0.45,,,,,,0.67
barbare,-0.58,0.64,3,2,0.73,,,,,,,0.35,0.67,,,,,,0.69,0.58,,
barbarie,-0.77,0.62,1,1,,,,,,,,,0.77,,,,,,,0.62,,
barbe,-0.19,,3,-,0.19,,-,0.14,0.25,,,,,,,,,,,,,
barbecue,0.65,,1,-,,,0.65,,,,,,,,,,,,,,,
barbelé,-0.49,,1,-,,,-,0.49,,,,,,,,,,,,,,
barbiche,-0.06,,1,-,,,-,0.06,,,,,,,,,,,,,,
bardane,-0.3,0.32,1,1,,,,,,,,0.30,,,,,,,0.32,,,
baril,-0.01,0.28,4,3,,,-,0.06,,,0.01,,,,0.04,0.05,,0.30,,,0.10,0.46
baron,0.18,,1,-,,,,,0.18,,,,,,,,,,,,,
barque,0.30,,2,-,0.14,,0.47,,,,,,,,,,,,,,,
barrage,-0.6,,1,-,0.60,,,,,,,,,,,,,,,,,
barre,0.04,,1,-,,,0.04,,,,,,,,,,,,,,,
barreau,-0.61,,1,-,0.61,,,,,,,,,,,,,,,,,
barreau (chaise),-0.02,,1,-,,,-,0.02,,,,,,,,,,,,,,
barrière,-0.36,0.43,5,2,0.54,0.23,,,0.09,,,0.43,0.50,,,,,,0.58,0.28,,
bas,-0.02,,1,-,,,,,,0.02,,,,,,,,,,,,
bascule,-0.13,,2,-,0.29,,0.02,,,,,,,,,,,,,,,
base,0.12,0.18,1,1,,,,,,,,0.12,,,,,,,0.18,,,
base-ball,-0.08,,1,-,0.08,,,,,,,,,,,,,,,,,
basket-ball,0.14,,1,-,,,,,0.14,,,,,,,,,,,,,
bassin (corps),0.03,0.50,1,1,,,,,,,,,0.03,,,,,,,0.50,,
bassin (piscine),0.30,0.60,1,1,,,,,,,,,0.30,,,,,,,0.60,,
bassine,-0.02,,1,-,,,-,0.02,,,,,,,,,,,,,,
bat,-0.37,0.72,1,1,,,,,,,,,0.37,,,,,,,0.72,,
bataille,-0.68,0.74,2,2,,,,,,,,0.73,0.63,,,,,,0.72,0.75,,
batailleur,-0.63,0.70,1,1,,,,,,,,,0.63,,,,,,,0.70,,
bâtard,-0.43,0.51,4,3,0.60,,,,,,0.41,,,,0.33,0.36,,0.63,,,0.32,0.59
bateau,0.47,0.54,7,2,0.57,0.31,0.47,,0.59,0.65,,,0.33,,,0.33,,,,0.52,,0.56
batifoler,0.13,0.43,1,1,,,,,,,,,0.13,,,,,,,0.43,,
bâtiment,0.08,0.18,2,1,,,,,0.20,,,,0.03,,,,,,,0.18,,
bâtir,0.17,0.60,1,1,,,,,,,,,0.17,,,,,,,0.60,,
bâton,-0.3,0.30,2,1,,,,,0.10,,,,0.50,,,,,,,0.30,,
batterie,0.02,0.23,3,1,,,0.23,,0.11,,,0.05,,,,,,,0.23,,,
battre,-0.53,0.72,2,1,0.69,,,,,,,,0.37,,,,,,,0.72,,
battre (se),-0.33,0.82,1,1,,,,,,,,,0.33,,,,,,,0.82,,
baume,0.43,0.08,1,1,,,,,,,,0.43,,,,,,,0.08,,,
bavard,-0.27,0.53,2,1,0.18,,,,,,,,0.37,,,,,,,0.53,,
bavarder,0.17,0.29,1,1,,,,,,,,0.17,,,,,,,0.29,,,
bazar,-0.23,0.38,1,1,,,,,,,,,0.23,,,,,,,0.38,,
b-d,0.40,0.52,1,1,,,,,,,,,0.40,,,,,,,0.52,,
beau,0.67,,3,-,0.77,0.52,,,,0.74,,,,,,,,,,,,
beauté,0.68,0.56,7,4,0.73,,,,0.80,0.88,0.71,,0.73,,0.27,0.66,,0.49,,0.60,0.51,0.64
bébé,0.74,0.62,7,3,0.70,0.76,0.78,,,0.88,,0.63,0.77,,,0.69,,,0.46,0.78,,0.62
bec,-0.06,,1,-,,,-,0.06,,,,,,,,,,,,,,
bêche,-0.06,,1,-,,,-,0.06,,,,,,,,,,,,,,
bedonnant,-0.58,,1,-,0.58,,,,,,,,,,,,,,,,,
beffroi,0.42,,1,-,,,,,0.42,,,,,,,,,,,,,
bégayer,-0.37,0.43,2,2,,,,,,,,0.20,0.53,,,,,,0.46,0.40,,
béguin,0.47,0.60,1,1,,,,,,,,,0.47,0.78,,,0.62,,,0.60,,
belle,0.75,0.60,2,1,,,,,,0.89,,,,,,0.60,,,,,,0.60
belle-mère,-0.15,,1,-,0.15,,,,,,,,,,,,,,,,,
belligérant,-0.5,0.60,1,1,,,,,,,,,0.50,,,,,,,0.60,,
belliqueux,-0.6,0.57,1,1,,,,,,,,,0.60,,,,,,,0.57,,
bendecir,0.27,0.49,1,1,,,,,,,,,,,,0.27,,,,,,0.49
bénédictions,0.53,0.14,1,1,,,,,,,,0.53,,,,,,,0.14,,,
bénéfice,0.53,0.53,1,1,,,,,,,,,0.53,,,,,,,0.53,,
bénévolat,0.32,,1,-,0.32,,,,,,,,,,,,,,,,,
bénir,0.49,0.30,2,2,,,,,,,0.55,0.43,,,,,,0.38,0.21,,,
bénitier,0.08,,1,-,,,,,0.08,,,,,,,,,,,,,
béquille,-0.52,0.50,2,2,,,,,,,0.39,0.65,,,,,,0.39,0.61,,,
béquilles,-0.3,,1,-,,,-,0.30,,,,,,,,,,,,,,
berceau,0.58,,3,-,,0.55,0.60,,0.58,,,,,,,,,,,,,
bercer,0.47,0.52,1,1,,,,,,,,,0.47,,,,,,,0.52,,
béret,0.10,,1,-,,,0.10,,,,,,,,,,,,,,,
berger,0.43,,1,-,,,,,,0.43,,,,,,,,,,,,
besogne,-0.27,,1,-,0.27,,,,,,,,,,,,,,,,,
besoin,0.08,0.58,2,2,,,,,,,,0.13,0.03,,,,,,0.62,0.53,,
bestial,-0.31,,1,-,0.31,,,,,,,,,,,,,,,,,
bétail,0.13,,1,-,,,,,0.13,,,,,,,,,,,,,
bête,-0.16,0.63,4,2,0.25,,,,0.02,,,,,,,0.38,,,,0.50,,0.76
bêtise,-0.65,0.50,2,1,0.67,,,,,,,0.63,,,,,,,0.50,,,
béton,-0.49,0.27,3,1,0.83,,,,0.16,,,,0.47,,,,,,,0.27,,
betterave,0.12,,1,-,,,,,0.12,,,,,,,,,,,,,
beurre,0.25,0.31,8,3,0.25,0.10,0.30,,0.65,0.31,0.08,0.20,,,,0.16,,0.27,0.21,,,0.45
biberon,0.51,,2,-,,0.40,0.62,,,,,,,,,,,,,,,
bible,0.04,0.43,3,2,,,,,,0.01,,0.17,0.03,,,,,,0.48,0.38,,
bibliothécaire,0.35,,1,-,0.35,,,,,,,,,,,,,,,,,
bibliothèque,0.59,0.40,4,1,0.59,,0.73,,0.78,,,,0.27,,,,,,,0.40,,
biche,0.55,,1,-,,,0.55,,,,,,,,,,,,,,,
bicyclette,0.51,0.50,2,1,0.51,,,,,,,0.52,,,,,,,0.50,,,
bidonville,-0.6,,1,-,0.60,,,,,,,,,,,,,,,,,
bien,0.62,0.42,3,1,0.76,0.68,,,,,,,0.43,,,,,,,0.42,,
bien-être,0.91,,1,-,,,,,,0.91,,,,,,,,,,,,
bienfaisance,0.47,0.53,1,1,,,,,,,,,0.47,,,,,,,0.53,,
bienfait,0.52,0.34,2,2,,,,,,,,0.60,0.43,,,,,,0.19,0.50,,
bientôt,0.13,0.35,1,1,,,,,,,,,0.13,,,,,,,0.35,,
bienveillance,0.37,0.48,1,1,,,,,,,,,0.37,,,,,,,0.48,,
bienvenue,0.71,,1,-,0.71,,,,,,,,,,,,,,,,,
bière,0.26,0.47,4,2,0.26,,,,0.43,,,0.23,0.13,,,,,,0.47,0.47,,
bijou,0.41,0.50,4,3,0.32,,,,,,0.50,,0.37,,,0.45,,0.55,,0.37,,0.59
bijoux,0.48,,1,-,,,,,,0.48,,,,,,,,,,,,
bikini,0.51,0.59,2,1,0.45,,,,,,,0.58,,,,,,,0.59,,,
bilan,-0.13,0.53,1,1,,,,,,,,,0.13,,,,,,,0.53,,
bile,-0.53,0.46,1,1,,,,,,,,0.53,,,,,,,0.46,,,
bille,0.38,0.12,2,1,,,0.34,,,,,0.42,,,,,,,0.12,,,
billet,0.41,,2,-,,,0.49,,0.33,,,,,,,,,,,,,
billet doux,0.63,0.62,1,1,,,,,,,,,0.63,,,,,,,0.62,,
binette,-0.01,,1,-,,,-,0.01,,,,,,,,,,,,,,
biscotte,0.23,0.19,2,1,,,0.34,,,,,0.12,,,,,,,0.19,,,
biscuit,0.66,0.34,2,1,,,0.68,,,,,0.64,,,,,,,0.34,,,
bise,0.40,,2,-,0.70,,,,0.11,,,,,,,,,,,,,
bison,0.09,,1,-,,,0.09,,,,,,,,,,,,,,,
bizarre,-0.03,0.37,1,1,,,,,,,,,0.03,,,,,,,0.37,,
blafard,-0.43,0.22,1,1,,,,,,,,,0.43,,,,,,,0.22,,
blague,0.43,0.57,1,1,,,,,,,,,0.43,,,,,,,0.57,,
blaireau,0.15,0.38,1,1,,,,,,,,0.15,,,,,,,0.38,,,
