word_english,aoa_M,RT_M,aoa_SD,RT_SD
congress,5.52,1762,1.12,1245
conjure,5.91,1690,1.23,1648
connect,4.03,2140,1.02,2596
conquer,5.03,1699,1.28,1206
conquest,5.36,1740,1.27,1182
conscience,5.64,2414,1.15,1887
consent,5.18,1651,1.12,952
conserve,5.45,2427,1.01,2171
console,5.42,1759,1.24,1660
consort,5.76,1852,1.24,1959
conspire,5.97,1938,1.02,1612
constant,5.30,1907,1.24,1808
construct,4.97,2234,1.07,1852
consul,5.91,2078,1.06,1696
consult,5.48,2055,1.15,2523
consume,5.06,2186,1.13,2180
contact,4.42,1837,1.22,1095
contain,4.79,1887,1.08,1549
contempt,6.03,1904,0.91,2084
contend,5.70,2134,1.21,1982
content,4.97,2260,1.31,3089
contest,4.06,1890,1.03,1440
context,5.27,1476,1.05,890
contract,5.21,1698,1.07,917
contraire,6.03,1808,1.04,1531
contrast,4.97,2186,1.13,2409
control,4.30,1997,1.05,1426
convene,6.00,2077,1.15,2004
convent,5.52,1871,1.28,2199
converge,5.76,1894,1.16,1744
converse,5.55,1740,1.05,1000
convert,5.52,2410,0.97,2243
convey,5.67,2787,0.99,2700
convict,5.58,1774,1.14,1264
convince,5.12,2744,1.02,3863
convoy,5.88,1847,1.13,1750
cookie,2.55,2380,1.21,3551
coolant,5.88,1602,1.24,646
copper,4.82,2101,1.20,3106
copy,3.97,1490,1.06,863
coral,4.52,1932,1.18,1332
cordial,5.91,2435,1.15,2775
cordon,5.85,1903,1.23,1304
corpus,6.03,1869,1.16,1787
corral,5.09,2612,1.37,2807
correct,4.00,1815,1.16,1301
corrupt,5.45,2105,0.98,1838
corsage,5.94,2096,1.18,1906
corset,5.67,1569,1.05,1087
cortex,5.88,1755,1.05,1017
cosmic,5.18,1777,1.23,1157
cosmos,5.76,1791,1.22,1583
costume,3.33,1942,0.98,1666
cosy,4.91,2573,1.68,2367
cottage,4.70,1723,1.22,1454
cotton,3.85,2388,1.09,1486
cougar,3.88,1708,1.16,774
council,5.18,2376,1.31,2264
counsel,5.27,2203,1.29,2155
countess,5.58,2773,1.34,4890
country,3.88,1764,1.34,993
county,4.39,2307,1.37,1463
couple,3.94,2179,1.39,2762
coupon,4.30,1946,1.05,1650
courage,4.52,1939,1.26,1919
cousin,3.58,2078,1.06,1517
coven,5.88,1645,1.24,1411
cover,4.09,2252,1.07,1302
covert,5.27,1774,1.24,826
covet,5.88,1630,1.22,1619
coward,4.76,2123,1.25,1962
cozy,4.03,2086,1.22,1642
crackle,4.30,1898,1.41,1364
cradle,4.06,1635,1.33,1017
crater,5.09,2069,1.22,1648
crazy,3.64,2002,1.14,1619
create,4.06,1569,0.97,1113
creature,4.03,2067,1.02,3195
credit,5.21,2148,1.13,1801
credo,6.18,1781,1.01,1106
crescent,5.36,3381,1.08,5737
cretin,6.15,1562,1.04,752
cricket,3.42,1707,1.22,1053
crimson,5.91,2206,1.23,2148
cripple,4.85,2133,1.22,1482
crisis,5.09,2308,0.98,2367
critic,5.64,2416,1.12,2753
critter,3.82,1679,1.05,919
crooked,4.79,2006,1.39,1410
croquet,5.70,1639,1.39,904
crucial,5.30,1989,1.14,2135
crumble,4.06,2056,1.26,2098
crusade,5.64,1524,1.09,980
cryptic,5.97,2258,1.02,4484
crystal,4.52,2642,1.10,2545
cubic,5.30,1924,0.98,1122
cuckoo,4.79,1918,1.54,1630
cuddle,3.73,1904,1.39,1403
cuisine,5.36,1974,0.98,1005
culprit,5.73,1507,1.20,1080
culture,5.09,1995,1.14,3320
cunning,5.79,1709,1.03,1203
curfew,4.94,2655,1.03,2692
current,4.61,1990,1.02,1418
curry,5.55,2311,1.59,3274
curtain,3.94,2117,1.24,2079
curtsy,5.03,1933,1.23,1122
cushion,4.30,1691,1.27,937
